time_s,source_charge_centered_nC,transfer_charge_from_start_nC
6.356491700020e-01,1.174903826888e+02,-4.648357042677e+01
6.357185412964e-01,1.175025846524e+02,-4.647136846323e+01
6.357879125907e-01,1.175147866159e+02,-4.645916649970e+01
6.358572838851e-01,1.175269885794e+02,-4.644696453616e+01
6.359266551794e-01,1.175391905430e+02,-4.643476257263e+01
6.359960264737e-01,1.175513925065e+02,-4.642256060910e+01
6.360653977681e-01,1.175635944700e+02,-4.641035864556e+01
6.361347690624e-01,1.175757964336e+02,-4.639815668203e+01
6.362041403567e-01,1.175879983971e+02,-4.638595471849e+01
6.362735116511e-01,1.176002003606e+02,-4.637375275496e+01
6.363428829454e-01,1.176124023242e+02,-4.636155079142e+01
6.364122542397e-01,1.176246042877e+02,-4.634934882789e+01
6.364816255341e-01,1.176368062513e+02,-4.633714686436e+01
6.365509968284e-01,1.176490082148e+02,-4.632494490082e+01
6.366203681228e-01,1.176612101783e+02,-4.631274293729e+01
6.366897394171e-01,1.176734121419e+02,-4.630054097375e+01
6.367591107114e-01,1.176856141054e+02,-4.628833901022e+01
6.368284820058e-01,1.176978160689e+02,-4.627613704668e+01
6.368978533001e-01,1.177100180325e+02,-4.626393508315e+01
6.369672245944e-01,1.177222199960e+02,-4.625173311962e+01
6.370365958888e-01,1.177344219595e+02,-4.623953115608e+01
6.371059671831e-01,1.177466239231e+02,-4.622732919255e+01
6.371753384774e-01,1.177588258866e+02,-4.621512722901e+01
6.372447097718e-01,1.177710278501e+02,-4.620292526548e+01
6.373140810661e-01,1.177832298137e+02,-4.619072330194e+01
6.373834523605e-01,1.177954317772e+02,-4.617852133841e+01
6.374528236548e-01,1.178076337407e+02,-4.616631937487e+01
6.375221949491e-01,1.178198357043e+02,-4.615411741134e+01
6.375915662435e-01,1.178320376678e+02,-4.614191544781e+01
6.376609375378e-01,1.178442396313e+02,-4.612971348427e+01
6.377303088321e-01,1.178564415949e+02,-4.611751152074e+01
6.377996801265e-01,1.178686435584e+02,-4.610530955720e+01
